UTM_N,UTM_E,siteID.x,individualID,taxonID.x,collectDate, plotID.x,domainID.x,utmZone
541948.9168,4136155.988,MLBS,2586,NA,NA,NA,NA,17N
541977.114,4136172.018,MLBS,2599,NA,NA,NA,NA,17N
541983.3277,4136177.27,MLBS,2506,NA,NA,NA,NA,17N
541985.0642,4136171.548,MLBS,2592,NA,NA,NA,NA,17N
541975.7201,4136224.142,MLBS,2593,NA,NA,NA,NA,17N
542094.6693,4136233.787,MLBS,2514,NA,NA,NA,NA,17N
542076.9768,4136208.138,MLBS,2519,NA,NA,NA,NA,17N
542120.7593,4136183.067,MLBS,2594,NA,NA,NA,NA,17N
542131.0243,4136180.713,MLBS,2595,NA,NA,NA,NA,17N
542675.8844,4136948.314,MLBS,2536,NA,NA,NA,NA,17N
542678.1585,4136928.438,MLBS,2538,NA,NA,NA,NA,17N
542712.4167,4136931.608,MLBS,2537,NA,NA,NA,NA,17N
542683.5732,4136902.772,MLBS,2525,NA,NA,NA,NA,17N
542554.1665,4136753.837,MLBS,2561,NA,NA,NA,NA,17N
542544.5114,4136720.361,MLBS,2517,NA,NA,NA,NA,17N
542563.4364,4136703.801,MLBS,2600,NA,NA,NA,NA,17N
542535.5879,4136672.322,MLBS,2590,NA,NA,NA,NA,17N
542529.5535,4136671.629,MLBS,2598,NA,NA,NA,NA,17N
542356.6746,4137167.145,MLBS,2503,NA,NA,NA,NA,17N
542349.959,4137180.558,MLBS,2509,NA,NA,NA,NA,17N
542340.3888,4137154.624,MLBS,2511,NA,NA,NA,NA,17N
542308.7939,4137110.1,MLBS,2502,NA,NA,NA,NA,17N
542271.4207,4136991.67,MLBS,2529,NA,NA,NA,NA,17N
542264.2351,4136996.019,MLBS,2578,NA,NA,NA,NA,17N
542290.492,4136907.489,MLBS,2531,NA,NA,NA,NA,17N
542288.9989,4136896.02,MLBS,2530,NA,NA,NA,NA,17N
542262.2636,4136955.128,MLBS,2527,NA,NA,NA,NA,17N
542162.9134,4136836.462,MLBS,2526,NA,NA,NA,NA,17N
542170.4059,4136940.397,MLBS,2571,NA,NA,NA,NA,17N
542318.1644,4137119.167,MLBS,2505,NA,NA,NA,NA,17N
542325.8824,4137152.849,MLBS,2570,NA,NA,NA,NA,17N
542334.9367,4137153.111,MLBS,2501,NA,NA,NA,NA,17N
542325.0079,4137127.659,MLBS,2522,NA,NA,NA,NA,17N
542027.95,4136777.933,MLBS,2579,NA,NA,NA,NA,17N
542028.1388,4136741.898,MLBS,2582,NA,NA,NA,NA,17N
542017.1698,4136761.319,MLBS,2575,NA,NA,NA,NA,17N
542032.1408,4136613.355,MLBS,2553,NA,NA,NA,NA,17N
541982.9536,4136548.187,MLBS,2566,NA,NA,NA,NA,17N
541953.815,4136518.882,MLBS,2541,NA,NA,NA,NA,17N
541964.7467,4136481.691,MLBS,2540,NA,NA,NA,NA,17N
541971.1439,4136485.488,MLBS,2555,NA,NA,NA,NA,17N
541991.0886,4136502.764,MLBS,2554,NA,NA,NA,NA,17N
541887.8058,4136496.733,MLBS,2544,NA,NA,NA,NA,17N
541898.6588,4136557.952,MLBS,2548,NA,NA,NA,NA,17N
541888.9621,4136584.349,MLBS,2546,NA,NA,NA,NA,17N
541877.8252,4136586.94,MLBS,2533,NA,NA,NA,NA,17N
541883.5025,4136569.122,MLBS,2583,NA,NA,NA,NA,17N
541887.5745,4136555.775,MLBS,2560,NA,NA,NA,NA,17N
542048.4992,4136387.892,MLBS,1068,NA,NA,NA,NA,17N
542053.6251,4136385.794,MLBS,2551,NA,NA,NA,NA,17N
